SNOMED code	SNOMED descriptor	ICD-O code	topography	filter_code
87077004	Lamina of fourth cervical vertebra	C41.2	top	0_0_0_3_1_2
87082006	Rotatores colli	C49.6	top	0_0_0_8_6
87086009	Reticulospinal tract of pons	C71.7	top	0_0_0_13_2_7
87098004	Entire sheathed arteries of spleen	C42.2	top	0_0_0_4_2
87100004	Topography unknown	C80.9	top	0_0_0_17_0
87109003	Articular surface, interphalangeal, of phalanx of index finger	C40.1	top	0_0_0_3_0_1
87141009	Sacral vertebra	C41.4	top	0_0_0_3_1_4
87160002	Transversospinalis muscle	C49.6	top	0_0_0_8_6
87166008	Vomer	C30.0	top	0_0_0_2_0_0
87176006	Bartholin's gland	C51.0	top	0_0_0_10_0_0
87183004	Infererior tibiofibular ligament	C49.2	top	0_0_0_8_2
87187003	Articular process of thoracic vertebra	C41.2	top	0_0_0_3_1_2
87195004	Prostatic isthmus	C61.9	top	0_0_0_11_1_0
87198002	Fat pad of ischiorectal fossa	C49.5	top	0_0_0_8_5
87201007	Articular process of fourth thoracic vertebra	C41.2	top	0_0_0_3_1_2
87206002	Gastric foveola	C16.9	top	0_0_0_1_1_8
87216005	Superficial temporal vein	C49.0	top	0_0_0_8_0
87218006	Ligament of elbow joint	C49.1	top	0_0_0_8_1
87263007	Entire urethral artery	C49.5	top	0_0_0_8_5
87270007	Anconeal bursa	C49.1	top	0_0_0_8_1
87286000	Periaqueductal gray matter	C71.5	top	0_0_0_13_2_5
87292006	Subcutaneous tissue of leg	C49.2	top	0_0_0_8_2
87306004	Subcutaneous tissue of groin	C49.5	top	0_0_0_8_5
87320006	Skin of vermilion border	C44.0	top	0_0_0_5_0
87321005	Aqueous humor	C69.4	top	0_0_0_13_0_4
87342007	Fibula	C40.2	top	0_0_0_3_0_2
87364003	Neuroblastoma	9500/3	hist	0_0_1_36_5
87367005	Subcutaneous tissue of arm	C49.1	top	0_0_0_8_1
87372001	Subcutaneous tissue of posterior commissure of labia majora	C51.0	top	0_0_0_10_0_0
87381007	Inner granular layer of cerebellar cortex	C71.6	top	0_0_0_13_2_6
87391001	Prominent vertebra	C41.2	top	0_0_0_3_1_2
87408004	Inferior occipital gyrus	C71.4	top	0_0_0_13_2_4
87432006	Lumbar nerve dorsal primary division	C47.6	top	0_0_0_6_6
87434007	Articular facet of patella	C40.3	top	0_0_0_3_0_3
87461007	Flexor tendon of little finger	C49.1	top	0_0_0_8_1
87463005	Fornix	C71.0	top	0_0_0_13_2_0
87474001	Middle lobe branch of superior right pulmonary vein	C49.3	top	0_0_0_8_3
87482001	Dorsal foramina of sacrum	C41.4	top	0_0_0_3_1_4
87483006	Intima	C49.9	top	0_0_0_8_8
87488002	Inferior mesenteric ganglion	C47.4	top	0_0_0_6_4
87490001	Iris of both eyes	C69.4	top	0_0_0_13_0_4
87497003	Acromial facet of clavicle	C41.3	top	0_0_0_3_1_3
87501008	Entire His' space	C47.9	top	0_0_0_6_8
87508002	Entire dorsal tarsometatarsal ligament	C49.2	top	0_0_0_8_2
87516006	Extrapyramidal tract	C71.7	top	0_0_0_13_2_7
87517002	Hilum of olivary nucleus	C71.7	top	0_0_0_13_2_7
87519004	Ventrolateral sulcus	C72.0	top	0_0_0_13_3_0
87528003	Urethral meatus	C68.0	top	0_0_0_12_4_0
87550002	Mucous membrane of maxillary sinus	C31.0	top	0_0_0_2_1_0
87563008	Interbrain	C71.9	top	0_0_0_13_2_9
87573005	Entire os trigonum	C40.3	top	0_0_0_3_0_3
87583009	Entire shaft of eleventh rib	C41.3	top	0_0_0_3_1_3
87584003	All parathyroid glands	C75.0	top	0_0_0_14_2_0
87600000	Carpal dorsal branch of radial artery	C49.1	top	0_0_0_8_1
