SNOMED code	SNOMED descriptor	ICD-O code	topography	filter_code
106004	Posterior carpal region	C76.4	top	0_0_0_15_4
107008	Fetal part of placenta	C58.9	top	0_0_0_10_7_0
108003	Entire condylar emissary vein	C49.0	top	0_0_0_8_0
110001	Visceral layer of Bowman's capsule	C64.9	top	0_0_0_12_0_0
111002	Parathyroid	C75.0	top	0_0_0_14_2_0
116007	Subcutaneous tissue of medial surface of index finger	C49.1	top	0_0_0_8_1
124002	Coronoid process of mandible	C41.1	top	0_0_0_3_1_1
155008	Deep circumflex iliac artery	C49.5	top	0_0_0_8_5
167005	Supraclavicular part of brachial plexus	C47.1	top	0_0_0_6_1
202009	Anterior division of renal artery	C49.4	top	0_0_0_8_4
205006	Entire left commissure of aortic valve	C38.0	top	0_0_0_2_6_0
206007	Gluteus maximus muscle	C49.5	top	0_0_0_8_5
221001	Articular surface, phalanges, of fourth metacarpal bone	C40.1	top	0_0_0_3_0_1
227002	Canal of Hering	C22.1	top	0_0_0_1_7_1
233006	Hepatocolic ligament	C49.4	top	0_0_0_8_4
235004	Superior labial artery	C49.0	top	0_0_0_8_0
246001	Nucleus of Deiters	C72.4	top	0_0_0_13_3_4
247005	Mesotympanum	C30.1	top	0_0_0_2_0_1
251007	Pectoral region	C76.1	top	0_0_0_15_1
263002	Thoracic nerve	C47.3	top	0_0_0_6_3
266005	Right lower lobe of lung	C34.3	top	0_0_0_2_4_3
272005	Cranial articular process of lumbar vertebra	C41.2	top	0_0_0_3_1_2
273000	Lateral myocardium	C38.0	top	0_0_0_2_6_0
283001	Central axillary lymph node	C77.3	top	0_0_0_16_3
284007	Entire flexor tendon and tendon sheath of fourth toe	C49.2	top	0_0_0_8_2
289002	Metacarpophalangeal joint of index finger	C40.1	top	0_0_0_3_0_1
301000	Fifth metatarsal bone	C40.3	top	0_0_0_3_0_3
311007	Plantar surface of great toe	C76.5	top	0_0_0_15_5
315003	Skin of umbilicus	C44.5	top	0_0_0_5_5
318001	Cardiac impression of liver	C22.0	top	0_0_0_1_7_0
344001	Hock	C76.5	top	0_0_0_15_5
345000	Bundle of His	C38.0	top	0_0_0_2_6_0
354002	Triton tumor, malignant	9561/3	hist	0_0_1_38_7
356000	Reticular corium	C44.9	top	0_0_0_5_9
393006	Wall of bladder	C67.9	top	0_0_0_12_3_9
402006	Dental branch of inferior alveolar artery	C49.0	top	0_0_0_8_0
405008	Entire posterior temporal diploic vein	C49.0	top	0_0_0_8_0
414003	Gastric fundus	C16.1	top	0_0_0_1_1_1
422005	Ventral aspect of tongue	C02.2	top	0_0_0_0_2_2
446003	Trochanteric bursa	C49.2	top	0_0_0_8_2
457008	Collateral ligament	C49.9	top	0_0_0_8_8
461002	Crossed pyramidal tract	C72.0	top	0_0_0_13_3_0
465006	Precentral gyrus	C71.1	top	0_0_0_13_2_1
471000	Flexor hallucis longus	C49.2	top	0_0_0_8_2
480000	Lesser circulation	C76.7	top	0_0_0_15_6
485005	Transverse colon	C18.4	top	0_0_0_1_3_4
511008	Fibrous meningioma	9532/0	hist	0_0_1_37_3
528006	Costal surface of lung	C34.9	top	0_0_0_2_4_5
552004	Entire vagus nerve parasympathetic fibers to cardiac plexus	C47.9	top	0_0_0_6_8
565008	Intervertebral disc space of fifth lumbar vertebra	C41.2	top	0_0_0_3_1_2
582005	Head of phalanx of great toe	C40.3	top	0_0_0_3_0_3
587004	Capsule of proximal interphalangeal joint of third toe	C40.3	top	0_0_0_3_0_3
589001	Ventricular septum	C38.0	top	0_0_0_2_6_0
595000	Palpebral fissure	C44.1	top	0_0_0_5_1
608002	Subcutaneous tissue of philtrum	C49.0	top	0_0_0_8_0
635006	Tuberosity of distal phalanx of little toe	C40.3	top	0_0_0_3_0_3
650002	Cranial articular process of seventh thoracic vertebra	C41.2	top	0_0_0_3_1_2
660006	Tracheal mucous membrane	C33.9	top	0_0_0_2_3_0
661005	Jaw	C76.0	top	0_0_0_15_0
688000	Fetal hyaloid artery	C49.9	top	0_0_0_8_8
691000	Small intestine submucosa	C17.9	top	0_0_0_1_2_5
692007	Body of ischium	C41.4	top	0_0_0_3_1_4
774007	Structure of head and/or neck	C76.0	top	0_0_0_15_0
790007	Visceral aspect of liver	C22.0	top	0_0_0_1_7_0
798000	Entire deep temporal vein	C49.0	top	0_0_0_8_0
808000	Posterior intercostal artery	C49.3	top	0_0_0_8_3
809008	Fetal chondrocranium	C76.0	top	0_0_0_15_0
810003	Reed nevus	8772/0	hist	0_0_1_15_38
823005	Posterior cervical spinal cord nerve root	C72.0	top	0_0_0_13_3_0
830004	Spinous process of fifth thoracic vertebra	C41.2	top	0_0_0_3_1_2
835009	Angioimmunoblastic lymphoma	9705/3	hist	0_0_1_40_36
836005	Oral region of face	C76.0	top	0_0_0_15_0
885000	Lamina muscularis of colonic mucous membrane	C18.9	top	0_0_0_1_3_9
895007	Anterior cruciate ligament of knee joint	C49.2	top	0_0_0_8_2
900006	Mucin-producing carcinoma	8481/3	hist	0_0_1_8_28
915007	Malignant melanoma in junctional nevus	8740/3	hist	0_0_1_15_17
917004	Aditus laryngis	C32.1	top	0_0_0_2_2_1
921006	Thyrohyoid branch of ansa cervicalis	C47.0	top	0_0_0_6_0
947002	Crus of diaphragm	C49.3	top	0_0_0_8_3
955009	Bronchus	C34.9	top	0_0_0_2_4_5
976004	Ovarian vein	C49.4	top	0_0_0_8_4
985004	Neurinoma	9560/0	hist	0_0_1_38_5
996007	Meningeal branch of occipital artery	C49.0	top	0_0_0_8_0
999000	Mixed islet cell and exocrine adenocarcinoma	8154/3	hist	0_0_1_5_21
1005009	Entire diaphragmatic lymph node	C77.1	top	0_0_0_16_1
1012000	Fibrous portion of pericardium	C38.0	top	0_0_0_2_6_0
1015003	Peritonsillar tissue	C49.0	top	0_0_0_8_0
1028005	Sebaceous gland	C44.9	top	0_0_0_5_9
1030007	Vesicular bursa of sternohyoid muscle	C49.0	top	0_0_0_8_0
1063000	Frontozygomatic suture of skull	C41.0	top	0_0_0_3_1_0
1076006	Entire subcutaneous prepatellar bursa	C49.2	top	0_0_0_8_2
1087003	Sternothyroid muscle	C49.0	top	0_0_0_8_0
1092001	Superior occipital gyrus	C71.4	top	0_0_0_13_2_4
1099005	Thymic cortex	C37.9	top	0_0_0_2_5_0
1101003	Cranial cavity	C71.9	top	0_0_0_13_2_9
1106008	Entire major calyx	C65.9	top	0_0_0_12_1_0
1110006	Tarsal gland	C44.1	top	0_0_0_5_1
1122009	Inferior longitudinal muscle of tongue	C49.0	top	0_0_0_8_0
1136004	Aortopulmonary septum	C49.9	top	0_0_0_8_8
1159005	Frenulum linguae	C02.2	top	0_0_0_0_2_2
1172006	Dens axis	C41.2	top	0_0_0_3_1_2
1173001	Mandibular nerve	C72.5	top	0_0_0_13_3_5
1193009	Teres major muscle	C49.1	top	0_0_0_8_1
1216008	Synostosis	C41.9	top	0_0_0_3_1_6
1231004	Meninges	C70.9	top	0_0_0_13_1_2
1236009	Duodenal serosa	C17.0	top	0_0_0_1_2_0
1243003	Caudal articular process of sixth cervical vertebra	C41.2	top	0_0_0_3_1_2
1246006	Dorsal digital nerves of radial nerve	C47.1	top	0_0_0_6_1
1277008	Vertebral nerve	C47.6	top	0_0_0_6_6
1307006	Glottis	C32.0	top	0_0_0_2_2_0
1311000	Telogen hair	C44.9	top	0_0_0_5_9
1338007	Basiloma	8090/3	hist	0_0_1_3_0
1350001	Deep flexor tendon of index finger	C49.1	top	0_0_0_8_1
1353004	Gastric serosa	C16.9	top	0_0_0_1_1_8
1403006	Vastus lateralis muscle	C49.2	top	0_0_0_8_2
1425000	Posterior limb of stapes	C41.0	top	0_0_0_3_1_0
1439000	Paravesicular lymph node	C77.5	top	0_0_0_16_5
1441004	Laryngeal saccule	C32.1	top	0_0_0_2_2_1
1443001	Chromophobe carcinoma	8270/3	hist	0_0_1_5_98
1456008	Yellow fibrocartilage	C41.9	top	0_0_0_3_1_6
1467009	Parietal branch of superficial temporal artery	C49.0	top	0_0_0_8_0
1484003	Metatarsus	C76.5	top	0_0_0_15_5
1490004	Soft tissues of trunk	C49.6	top	0_0_0_8_6
1502004	Anterior cecal artery	C49.4	top	0_0_0_8_4
1511004	Ejaculatory duct	C63.7	top	0_0_0_11_3_3
1513001	Melanoameloblastoma	9363/0	hist	0_0_1_34_5
1516009	Frontomental diameter of head	C76.0	top	0_0_0_15_0
1527006	Lamina of fourth thoracic vertebra	C41.2	top	0_0_0_3_1_2
1537001	T11/12 disc	C41.2	top	0_0_0_3_1_2
1541002	Coccygeal plexus	C47.5	top	0_0_0_6_5
1562001	Nucleus pulposus, L3-L4	C41.2	top	0_0_0_3_1_2
1580005	Nucleus ventralis lateralis	C71.0	top	0_0_0_13_2_0
1581009	Ileal artery	C49.4	top	0_0_0_8_4
1584001	Entire symphysis	C41.9	top	0_0_0_3_1_6
1586004	Subependymal giant cell astrocytoma	9384/1	hist	0_0_1_35_4
1600003	Splenius capitis muscle	C49.0	top	0_0_0_8_0
1610007	Otoconia	C30.1	top	0_0_0_2_0_1
1611006	Entire paramammary lymph node	C77.3	top	0_0_0_16_3
1617005	Intrinsic larynx	C32.0	top	0_0_0_2_2_0
1623000	Myxopapillary ependymoma	9394/1	hist	0_0_1_35_13
1626008	Bone structure of T3	C41.2	top	0_0_0_3_1_2
1627004	Medial collateral ligament of knee joint	C49.2	top	0_0_0_8_2
1630006	Supraorbital vein	C49.0	top	0_0_0_8_0
1650005	Hilum of left lung	C34.0	top	0_0_0_2_4_0
1655000	Transverse peduncular tract nucleus	C71.0	top	0_0_0_13_2_0
1659006	Medial dorsal nucleus	C71.0	top	0_0_0_13_2_0
1684009	Round ligament of liver	C49.4	top	0_0_0_8_4
1706004	Thymic lobule	C37.9	top	0_0_0_2_5_0
1707008	Ventral nuclear group of thalamus	C71.0	top	0_0_0_13_2_0
1711002	Periorbital region	C69.6	top	0_0_0_13_0_6
1716007	Cupula ampullaris	C30.1	top	0_0_0_2_0_1
1721005	Right tonsil	C09.9	top	0_0_0_0_9_3
1729007	Central tegmental tract	C71.7	top	0_0_0_13_2_7
1732005	Thoracic duct	C49.3	top	0_0_0_8_3
1752006	Clear cell adenoma	8310/0	hist	0_0_1_5_105
1765002	Lymphatic of thorax	C49.3	top	0_0_0_8_3
1781007	Sacroiliac region	C76.7	top	0_0_0_15_6
1797002	Nostril	C30.0	top	0_0_0_2_0_0
1818002	Greater circulus arteriosus of iris	C69.4	top	0_0_0_13_0_4
1825009	Entire root of nose	C30.0	top	0_0_0_2_0_0
1832000	Bulbar conjunctiva	C69.0	top	0_0_0_13_0_0
1840006	Arrector pili muscle	C49.9	top	0_0_0_8_8
1849007	Pharyngeal recess	C11.2	top	0_0_0_0_11_2
1853009	Suprahyoid muscle	C49.0	top	0_0_0_8_0
1874005	Entire promontory lymph node	C77.5	top	0_0_0_16_5
1895000	Entire musculophrenic vein	C49.4	top	0_0_0_8_4
1902009	Skin of ear	C44.2	top	0_0_0_5_2
1910005	Entire ear	C44.2	top	0_0_0_5_2
1918003	Suprarenal aorta	C49.4	top	0_0_0_8_4
1927002	Entire left elbow	C76.4	top	0_0_0_15_4
1992003	Porus acusticus internus	C30.1	top	0_0_0_2_0_1
1997009	Cingulum dentis	C26.9	top	0_0_0_1_11_2
2010005	Clavicular facet of scapula	C40.0	top	0_0_0_3_0_0
2020000	Superior thoracic artery	C49.3	top	0_0_0_8_3
2026006	Serous adenofibroma	9014/0	hist	0_0_1_22_7
2031008	Spinal cord ventral medial sulcus	C72.0	top	0_0_0_13_3_0
2033006	Right fallopian tube	C57.0	top	0_0_0_10_6_0
2044003	Vaginal nerves	C47.5	top	0_0_0_6_5
2048000	Lingual tonsil	C02.4	top	0_0_0_0_2_4
2049008	Chorionic villi	C58.9	top	0_0_0_10_7_0
2059009	Skin of ear lobule	C44.2	top	0_0_0_5_2
2071003	Reticular formation of spinal cord	C72.0	top	0_0_0_13_3_0
2076008	Head of phalanx of hand	C40.1	top	0_0_0_3_0_1
2083001	Nucleus ambiguus	C71.7	top	0_0_0_13_2_7
2095001	Nasal sinus	C31.9	top	0_0_0_2_1_5
2123001	Tuberomammillary nucleus	C71.0	top	0_0_0_13_2_0
2142002	Nodular melanoma	8721/3	hist	0_0_1_15_3
2160002	Ligamentum arteriosum	C49.3	top	0_0_0_8_3
2175005	Pharyngeal cavity	C14.0	top	0_0_0_0_14_0
2182009	Endometrial zona basalis	C54.1	top	0_0_0_10_3_1
2192001	Clavicular part of pectoralis major muscle	C49.3	top	0_0_0_8_3
2205003	Lamina of fifth thoracic vertebra	C41.2	top	0_0_0_3_1_2
2209009	Cerebral basal surface	C71.0	top	0_0_0_13_2_0
2221008	Malignant mesonephroma	9110/3	hist	0_0_1_27_2
2227007	Adrenal cortical carcinoma	8370/3	hist	0_0_1_5_152
2236006	Lesser osseous pelvis	C41.4	top	0_0_0_3_1_4
2255006	Subserosa	C49.9	top	0_0_0_8_8
2292006	Nasopharyngeal gland	C11.9	top	0_0_0_0_11_5
2302002	Vein of the knee	C49.2	top	0_0_0_8_2
2305000	Spinous process of cervical vertebra	C41.2	top	0_0_0_3_1_2
2306004	Base of third metacarpal bone	C40.1	top	0_0_0_3_0_1
2327009	Entire salivary seromucous gland	C08.9	top	0_0_0_0_8_3
2330002	Segmental bronchial branches	C34.9	top	0_0_0_2_4_5
2334006	Calyx	C65.9	top	0_0_0_12_1_0
2348006	Adenomatoid tumor	9054/0	hist	0_0_1_24_8
2349003	Nasal suture of skull	C41.0	top	0_0_0_3_1_0
2372001	Medial surface of toe	C76.5	top	0_0_0_15_5
2383005	Papillary muscles of right ventricle	C38.0	top	0_0_0_2_6_0
2389009	Superior margin of adrenal gland	C74.9	top	0_0_0_14_1_2
2395005	Transverse facial artery	C49.0	top	0_0_0_8_0
2397002	First metatarsal facet of medial cuneiform bone	C40.3	top	0_0_0_3_0_3
2400006	ISO designation 34	C76.0	top	0_0_0_15_0
2402003	Dorsum of foot	C76.5	top	0_0_0_15_5
2421006	Ganglion of Langley	C47.0	top	0_0_0_6_0
2433001	Tendon and tendon sheath of toe	C49.2	top	0_0_0_8_2
2436009	Tunica intima of vein	C49.9	top	0_0_0_8_8
2453002	Subcutaneous tissue of dorsal surface of forearm	C49.1	top	0_0_0_8_1
2454008	Articular surface, third metacarpal, of second metacarpal bone	C40.1	top	0_0_0_3_0_1
2484000	Skin of frenulum of clitoris	C51.2	top	0_0_0_10_0_2
2489005	Medial check ligament of eye	C69.9	top	0_0_0_13_0_8
2499000	Entire cisterna pontis	C70.0	top	0_0_0_13_1_0
2504000	Pancreatic plexus	C47.4	top	0_0_0_6_4
2510000	Femoral triangle	C49.2	top	0_0_0_8_2
2539000	Superior rectal artery	C49.4	top	0_0_0_8_4
2543001	Cuboid articular facet of fourth metatarsal bone	C40.3	top	0_0_0_3_0_3
2550002	Bone of thumb	C40.1	top	0_0_0_3_0_1
2557004	Chronic leukemia	9800/3	hist	0_0_1_45_0
2577006	Gracilis muscle	C49.2	top	0_0_0_8_2
2592007	All extremities	C76.7	top	0_0_0_15_6
2600000	Flexor pollicis longus muscle tendon	C49.1	top	0_0_0_8_1
2620004	T3/4 disc	C41.2	top	0_0_0_3_1_2
2639009	Neuroendocrine tissue	C75.9	top	0_0_0_14_2_7
2653009	Posterior thalamic radiation of internal capsule	C71.0	top	0_0_0_13_2_0
2666009	Semispinalis capitis muscle	C49.6	top	0_0_0_8_6
2675006	Anterior ethmoidal artery	C49.0	top	0_0_0_8_0
2681003	Dorsal nerve of penis	C47.5	top	0_0_0_6_5
2682005	Bladder mucosa	C67.9	top	0_0_0_12_3_9
2686008	Medial olfactory gyrus	C71.0	top	0_0_0_13_2_0
2687004	Bowman's space	C64.9	top	0_0_0_12_0_0
2695000	Left maxillary sinus	C31.0	top	0_0_0_2_1_0
2703009	Entire calcarine artery	C49.0	top	0_0_0_8_0
2710003	Fibrolipoma	8851/0	hist	0_0_1_19_3
2712006	Capsule of ankle joint	C40.3	top	0_0_0_3_0_3
2718005	Apical foramen of tooth	C26.9	top	0_0_0_1_11_2
2726002	Fold for stapes	C30.1	top	0_0_0_2_0_1
2730004	Entire vitelline vein of placenta	C58.9	top	0_0_0_10_7_0
2739003	Endometrium	C54.1	top	0_0_0_10_3_1
2741002	Medial occipitotemporal gyrus	C71.2	top	0_0_0_13_2_2
2746007	Circular layer of gastric muscularis	C16.9	top	0_0_0_1_1_8
2748008	Spinal cord	C72.0	top	0_0_0_13_3_0
2759004	Eccrine gland	C44.9	top	0_0_0_5_9
2771005	Lamina propria of ureter	C66.9	top	0_0_0_12_2_0
2789006	Apocrine gland	C44.9	top	0_0_0_5_9
2792005	Pars tensa	C30.1	top	0_0_0_2_0_1
2803000	Tendon sheath of popliteus muscle	C49.2	top	0_0_0_8_2
2810006	Cremasteric fascia	C49.5	top	0_0_0_8_5
2812003	Femoral head	C40.2	top	0_0_0_3_0_2
2824005	Spinous process of fourth thoracic vertebra	C41.2	top	0_0_0_3_1_2
2826007	Lamina of fourth lumbar vertebra	C41.2	top	0_0_0_3_1_2
2830005	Dorsal digital nerves of lateral hallux and medial second toe	C47.2	top	0_0_0_6_2
2839006	Perivesicular tissues of seminal vesicles	C63.7	top	0_0_0_11_3_3
2841007	Renal artery	C49.4	top	0_0_0_8_4
2845003	Respiratory epithelium	C39.9	top	0_0_0_2_7_2
2848001	Superficial epigastric artery	C49.2	top	0_0_0_8_2
2855004	Accessory cephalic vein	C49.1	top	0_0_0_8_1
2861001	Entire gland (organ)	C49.9	top	0_0_0_8_8
2894003	Posterior epiglottis	C32.1	top	0_0_0_2_2_1
2905008	Uterovesical fold	C57.3	top	0_0_0_10_6_3
2909002	Posterior surface of liver	C22.0	top	0_0_0_1_7_0
2920002	Facial nerve motor branch	C72.5	top	0_0_0_13_3_5
2922005	Posterior papillary muscle of left ventricle	C38.0	top	0_0_0_2_6_0
2923000	Subcutaneous tissue of supraorbital area	C49.0	top	0_0_0_8_0
2969000	Anatomical space	C76.7	top	0_0_0_15_6
2979003	First tarsal bone	C40.3	top	0_0_0_3_0_3
2985005	Paget disease, mammary	8540/3	hist	0_0_1_9_30
2986006	Talar facet of navicular bone of foot	C40.3	top	0_0_0_3_0_3
2998001	Entire right margin of uterus	C55.9	top	0_0_0_10_4_0
3003007	Anterior limb of internal capsule	C71.0	top	0_0_0_13_2_0
3008003	White fibrocartilage	C41.9	top	0_0_0_3_1_6
3039001	Subcutaneous tissue of thigh	C49.2	top	0_0_0_8_2
3042007	Glomerular urinary pole	C64.9	top	0_0_0_12_0_0
3054007	Articular surface, metacarpal, of phalanx of thumb	C40.1	top	0_0_0_3_0_1
3055008	Bone marrow of vertebral body	C42.1	top	0_0_0_4_1
3056009	Nucleus anteroventralis	C71.0	top	0_0_0_13_2_0
3057000	Nerve	C47.9	top	0_0_0_6_8
3058005	Peripheral nervous system	C47.9	top	0_0_0_6_8
3062004	Spinal arachnoid	C70.1	top	0_0_0_13_1_1
3068000	Seminal vesicle lumen	C63.7	top	0_0_0_11_3_3
3093003	Tendinous arch of pelvic fascia	C49.5	top	0_0_0_8_5
3100007	Clinical crown of tooth	C26.9	top	0_0_0_1_11_2
3102004	Oligodendroglioma, anaplastic	9451/3	hist	0_0_1_35_35
3113001	Perichoroidal space	C69.3	top	0_0_0_13_0_3
3117000	Dorsal surface of index finger	C76.4	top	0_0_0_15_4
3118005	Trabecula carnea of left ventricle	C38.0	top	0_0_0_2_6_0
3120008	Pleura	C38.4	top	0_0_0_2_6_4
3134008	Head of fourth metatarsal bone	C40.3	top	0_0_0_3_0_3
3138006	Bony tissue	C41.9	top	0_0_0_3_1_6
3153003	Bundle of Rasmussen	C71.7	top	0_0_0_13_2_7
3156006	Obturator artery	C49.5	top	0_0_0_8_5
3159004	Costocervical trunk	C49.3	top	0_0_0_8_3
3169005	Spinal nerve	C47.9	top	0_0_0_6_8
3178004	Raphe of soft palate	C05.1	top	0_0_0_0_5_1
3194006	Endocardium of right atrium	C38.0	top	0_0_0_2_6_0
3198009	Monostomatic sublingual gland	C08.1	top	0_0_0_0_8_1
3215002	Subcutaneous tissue of nuchal region	C49.0	top	0_0_0_8_0
3222005	All large arteries	C49.9	top	0_0_0_8_8
3227004	Left coronary artery main stem	C49.3	top	0_0_0_8_3
3236000	Posterior segment of right upper lobe	C34.1	top	0_0_0_2_4_1
3243006	Parametrial lymph node	C77.5	top	0_0_0_16_5
3255000	Papillary area	C44.9	top	0_0_0_5_9
3262009	Root canal of tooth	C06.9	top	0_0_0_0_6_4
3279003	Pedicle of third cervical vertebra	C41.2	top	0_0_0_3_1_2
3295003	Ventral anterior nucleus	C71.0	top	0_0_0_13_2_0
3301002	Tectopontine fibers	C71.7	top	0_0_0_13_2_7
3302009	Splenic branch of splenic artery	C49.4	top	0_0_0_8_4
3315000	Vestibulospinal tract	C72.0	top	0_0_0_13_3_0
3332001	Occipitofrontal diameter of head	C76.0	top	0_0_0_15_0
3336003	Haversian canal	C41.9	top	0_0_0_3_1_6
3341006	Right lung	C34.9	top	0_0_0_2_4_5
3350008	Entire right commissure of pulmonic valve	C38.0	top	0_0_0_2_6_0
3362007	Intertragal incisure	C44.2	top	0_0_0_5_2
3366005	Anterior papillary muscle of left ventricle	C38.0	top	0_0_0_2_6_0
3370002	Supporting tissue of rectum	C49.5	top	0_0_0_8_5
3377004	Agger nasi	C30.0	top	0_0_0_2_0_0
3382006	Rima oris	C06.9	top	0_0_0_0_6_4
3394002	Suboccipitobregmatic diameter of head	C76.0	top	0_0_0_15_0
3395001	Superior palpebral arch	C49.0	top	0_0_0_8_0
3396000	Mesogastrium	C48.1	top	0_0_0_7_1
3409004	Radial margin of forearm	C76.4	top	0_0_0_15_4
3417007	Rotator muscle	C49.6	top	0_0_0_8_6
3438001	Deep lymphatic of upper extremity	C49.1	top	0_0_0_8_1
3444002	Thalamostriate vein	C49.0	top	0_0_0_8_0
3460003	Nucleus anterodorsalis	C71.0	top	0_0_0_13_2_0
3462006	Commissure of tricuspid valve	C38.0	top	0_0_0_2_6_0
3471002	Posterior midline of trunk	C76.7	top	0_0_0_15_6
3478008	Vastus medialis muscle	C49.2	top	0_0_0_8_2
3490005	Subcutaneous tissue of suboccipital region	C49.0	top	0_0_0_8_0
3524005	Lateral wall of mastoid antrum	C30.1	top	0_0_0_2_0_1
3538003	Capsule of proximal tibiofibular joint	C40.2	top	0_0_0_3_0_2
3541007	Dorsal metatarsal artery	C49.2	top	0_0_0_8_2
3553006	Thyroid capsule	C73.9	top	0_0_0_14_0_0
3556003	Dorsal nucleus of trapezoid body	C71.7	top	0_0_0_13_2_7
3563003	Muscularis of ureter	C66.9	top	0_0_0_12_2_0
3572006	Vertebral body	C41.2	top	0_0_0_3_1_2
3578005	Body of gallbladder	C23.9	top	0_0_0_1_8_0
3582007	Gastrophrenic ligament	C49.4	top	0_0_0_8_4
3584008	T10 dorsal arch	C41.2	top	0_0_0_3_1_2
3594003	Straight part of longus colli muscle	C49.0	top	0_0_0_8_0
3608004	Coccygeus muscle	C49.5	top	0_0_0_8_5
3609007	Occipital branch of posterior auricular artery	C49.0	top	0_0_0_8_0
3663005	Tympanic ostium of eustachian tube	C30.1	top	0_0_0_2_0_1
3665003	Pelvic wall	C76.3	top	0_0_0_15_3
3670005	Entire subpyloric lymph node	C77.2	top	0_0_0_16_2
3711007	Great vessel	C49.9	top	0_0_0_8_8
3743007	Lateral thoracic artery	C49.3	top	0_0_0_8_3
3761003	Nucleus pulposus, T1-T2	C41.2	top	0_0_0_3_1_2
3766008	Subcutaneous tissue of lower extremity	C49.2	top	0_0_0_8_2
3785006	Entire dorsal metacarpal ligament	C49.1	top	0_0_0_8_1
3788008	Apical segment of right lower lobe	C34.3	top	0_0_0_2_4_3
3810000	Nasal septal cartilage	C30.0	top	0_0_0_2_0_0
3838008	Apex of coccyx	C41.4	top	0_0_0_3_1_4
3839000	Lipid-rich carcinoma	8314/3	hist	0_0_1_5_112
3860006	Transplanted liver	C22.0	top	0_0_0_1_7_0
3865001	Interscapular region of back	C76.1	top	0_0_0_15_1
3867009	Dorsal surface of great toe	C76.5	top	0_0_0_15_5
3876002	Subcutaneous tissue of femoral region	C49.2	top	0_0_0_8_2
3877006	Common carotid plexus	C47.0	top	0_0_0_6_0
3898006	Tumor, benign	8000/0	hist	0_0_1_0_0
3910004	Subcutaneous tissue of lateral surface of fourth toe	C49.2	top	0_0_0_8_2
3916005	Occipital lymph node	C77.0	top	0_0_0_16_0
3924000	Pericardiophrenic artery	C49.3	top	0_0_0_8_3
3931001	Oval window	C30.1	top	0_0_0_2_0_1
3935005	Head of tenth rib	C41.3	top	0_0_0_3_1_3
3937002	Entorhinal cortex	C71.2	top	0_0_0_13_2_2
3954005	Lacrimal sac	C69.5	top	0_0_0_13_0_5
3956007	Fifth metatarsal articular facet of fourth metatarsal bone	C40.3	top	0_0_0_3_0_3
3959000	Rectus capitis muscle	C49.0	top	0_0_0_8_0
3960005	Olfactory tract	C71.0	top	0_0_0_13_2_0
3964001	Gyrus of brain	C71.0	top	0_0_0_13_2_0
3966004	Entire parietal branch of anterior cerebral artery	C49.0	top	0_0_0_8_0
3977005	Subcutaneous tissue of concha	C49.0	top	0_0_0_8_0
3984002	Deep vein of clitoris	C49.5	top	0_0_0_8_5
3989007	Medial part of globus pallidus	C71.0	top	0_0_0_13_2_0
4019005	Posterior commissure of labia majora	C51.0	top	0_0_0_10_0_0
4061004	Lateral orbital wall	C69.6	top	0_0_0_13_0_6
4066009	Capsule of proximal interphalangeal joint of index finger	C40.1	top	0_0_0_3_0_1
4072009	Fourth coccygeal vertebra	C41.4	top	0_0_0_3_1_4
4079000	Mucoepidermoid carcinoma	8430/3	hist	0_0_1_7_0
4081003	Entire dorsal lingual vein	C49.0	top	0_0_0_8_0
4093007	Bronchial branch of vagus	C72.5	top	0_0_0_13_3_5
4111006	Saccula macula	C30.1	top	0_0_0_2_0_1
4117005	Lumbosacral spinal cord central canal	C72.0	top	0_0_0_13_3_0
4121003	Superior frontal sulcus	C71.1	top	0_0_0_13_2_1
4146003	Artery of extremity	C49.9	top	0_0_0_8_8
4148002	Palmar surface of little finger	C76.4	top	0_0_0_15_4
4150005	Solar plexus	C47.4	top	0_0_0_6_4
4158003	Abdominal aortic plexus	C47.4	top	0_0_0_6_4
4159006	Hyparterial bronchi	C34.9	top	0_0_0_2_4_5
4180000	Both lower extremities	C76.5	top	0_0_0_15_5
4193005	Entire extensor tendon and tendon sheath of fifth toe	C49.2	top	0_0_0_8_2
4215008	Head of second rib	C41.3	top	0_0_0_3_1_3
4230004	Pacinian tumor	9507/0	hist	0_0_1_36_15
4247003	First metacarpal bone	C40.1	top	0_0_0_3_0_1
4258007	Posterior tibial vein	C49.2	top	0_0_0_8_2
4276000	Caudal articular process of seventh cervical vertebra	C41.2	top	0_0_0_3_1_2
4281009	Middle portion of ileum	C17.2	top	0_0_0_1_2_2
4295007	Paracortical area of lymph node	C77.9	top	0_0_0_16_7
4303006	Cartilage canal	C41.9	top	0_0_0_3_1_6
4305004	Krukenberg tumor	8490/6	hist	0_0_1_8_31
4312008	Anterior midline of abdomen	C76.2	top	0_0_0_15_2
4317002	Spinalis muscle	C49.6	top	0_0_0_8_6
4335006	Upper jaw	C76.0	top	0_0_0_15_0
4352005	Subchorionic space	C58.9	top	0_0_0_10_7_0
4358009	Lateral surface of little finger	C76.4	top	0_0_0_15_4
4360006	Stratum spinosum	C44.9	top	0_0_0_5_9
4369007	Small intestine mucous membrane	C17.9	top	0_0_0_1_2_5
4371007	Fourth metatarsal facet of lateral cuneiform bone	C40.3	top	0_0_0_3_0_3
4375003	Incisure of cartilaginous portion of auditory canal	C49.0	top	0_0_0_8_0
